comment_id,task_id,user_id,body,created_at
1,246,236,Comment 1: investigating issue 1.,2024-11-03 05:32:05
2,326,36,Comment 2: investigating issue 2.,2024-10-01 02:07:10
3,895,70,Comment 3: investigating issue 3.,2025-04-19 05:18:55
4,2376,269,Comment 4: investigating issue 4.,2024-09-09 19:27:51
5,3047,201,Comment 5: investigating issue 5.,2025-04-21 12:58:11
6,1056,54,Comment 6: investigating issue 6.,2024-11-28 23:17:27
7,4172,247,Comment 7: investigating issue 7.,2025-04-29 08:51:44
8,4804,11,Comment 8: investigating issue 8.,2024-09-22 10:23:24
9,2290,132,Comment 9: investigating issue 9.,2024-10-26 15:41:39
10,448,32,Comment 10: investigating issue 10.,2025-08-09 20:13:52
11,1389,99,Comment 11: investigating issue 11.,2024-10-28 01:25:41
12,2404,292,Comment 12: investigating issue 12.,2025-01-14 23:25:27
13,253,146,Comment 13: investigating issue 13.,2025-02-11 04:06:39
14,134,213,Comment 14: investigating issue 14.,2025-04-15 05:04:56
15,464,136,Comment 15: investigating issue 15.,2024-11-08 02:21:41
16,1066,38,Comment 16: investigating issue 16.,2024-10-18 10:27:35
17,3756,21,Comment 17: investigating issue 17.,2025-04-03 19:41:15
18,1696,39,Comment 18: investigating issue 18.,2024-09-25 07:25:06
19,2851,190,Comment 19: investigating issue 19.,2024-09-09 20:39:58
20,1778,46,Comment 20: investigating issue 20.,2025-06-12 16:12:02
21,4278,263,Comment 21: investigating issue 21.,2025-08-22 13:43:39
22,4503,163,Comment 22: investigating issue 22.,2024-10-02 19:46:41
23,3171,213,Comment 23: investigating issue 23.,2024-09-14 14:07:28
24,3528,228,Comment 24: investigating issue 24.,2025-06-07 11:08:18
25,949,137,Comment 25: investigating issue 25.,2024-12-01 17:22:44
26,2170,268,Comment 26: investigating issue 26.,2025-02-26 15:52:37
27,2831,37,Comment 27: investigating issue 27.,2025-05-18 14:03:55
28,3303,11,Comment 28: investigating issue 28.,2025-06-02 09:10:06
29,987,137,Comment 29: investigating issue 29.,2024-12-13 19:42:24
30,3751,243,Comment 30: investigating issue 30.,2024-10-12 19:23:14
31,1279,34,Comment 31: investigating issue 31.,2025-05-26 20:13:27
32,1887,277,Comment 32: investigating issue 32.,2025-07-01 04:46:48
33,941,54,Comment 33: investigating issue 33.,2025-05-20 18:40:59
34,1001,61,Comment 34: investigating issue 34.,2024-11-03 04:26:21
35,3559,90,Comment 35: investigating issue 35.,2025-09-03 08:34:35
36,789,132,Comment 36: investigating issue 36.,2025-02-11 00:28:33
37,3030,99,Comment 37: investigating issue 37.,2025-03-26 01:55:32
38,917,19,Comment 38: investigating issue 38.,2025-07-04 18:37:35
39,861,216,Comment 39: investigating issue 39.,2025-05-13 12:37:20
40,86,131,Comment 40: investigating issue 40.,2025-09-25 02:59:56
41,1531,163,Comment 41: investigating issue 41.,2025-05-30 17:27:40
42,1765,63,Comment 42: investigating issue 42.,2024-09-30 14:23:56
43,4070,103,Comment 43: investigating issue 43.,2025-09-25 09:37:21
44,610,96,Comment 44: investigating issue 44.,2024-12-24 17:20:52
45,57,225,Comment 45: investigating issue 45.,2024-12-24 06:16:24
46,2638,17,Comment 46: investigating issue 46.,2025-04-28 10:20:28
47,2629,91,Comment 47: investigating issue 47.,2025-04-24 03:02:46
48,164,281,Comment 48: investigating issue 48.,2025-08-08 00:08:03
49,283,220,Comment 49: investigating issue 49.,2024-12-11 06:54:46
50,2602,118,Comment 50: investigating issue 50.,2025-03-03 23:28:58
51,3339,20,Comment 51: investigating issue 51.,2024-11-18 14:41:22
52,123,299,Comment 52: investigating issue 52.,2025-03-06 02:58:47
53,610,51,Comment 53: investigating issue 53.,2025-03-30 11:09:50
54,483,14,Comment 54: investigating issue 54.,2024-11-30 08:43:11
55,1350,232,Comment 55: investigating issue 55.,2024-11-27 12:21:29
56,4811,70,Comment 56: investigating issue 56.,2025-01-24 02:20:13
57,4230,267,Comment 57: investigating issue 57.,2025-08-16 04:01:46
58,2506,40,Comment 58: investigating issue 58.,2025-05-21 03:34:32
59,4843,132,Comment 59: investigating issue 59.,2024-12-28 03:19:16
60,2916,136,Comment 60: investigating issue 60.,2025-01-29 12:34:27
61,2441,170,Comment 61: investigating issue 61.,2024-10-06 18:01:10
62,1218,208,Comment 62: investigating issue 62.,2025-07-30 18:51:14
63,2135,89,Comment 63: investigating issue 63.,2025-09-09 19:41:28
64,1990,273,Comment 64: investigating issue 64.,2025-08-05 07:35:22
65,4877,202,Comment 65: investigating issue 65.,2025-08-08 07:24:03
66,2282,281,Comment 66: investigating issue 66.,2024-10-21 04:44:27
67,681,20,Comment 67: investigating issue 67.,2025-05-20 06:01:16
68,575,88,Comment 68: investigating issue 68.,2024-12-16 23:46:09
69,3837,76,Comment 69: investigating issue 69.,2025-04-01 04:10:04
70,1549,10,Comment 70: investigating issue 70.,2025-07-30 13:09:10
71,4037,242,Comment 71: investigating issue 71.,2025-09-24 04:14:22
72,4233,120,Comment 72: investigating issue 72.,2025-06-28 23:19:23
73,3732,235,Comment 73: investigating issue 73.,2024-10-24 09:07:21
74,95,253,Comment 74: investigating issue 74.,2024-09-04 23:26:46
75,4184,69,Comment 75: investigating issue 75.,2025-03-16 21:56:45
76,441,258,Comment 76: investigating issue 76.,2025-02-22 21:19:24
77,2937,43,Comment 77: investigating issue 77.,2025-02-19 16:48:27
78,1565,50,Comment 78: investigating issue 78.,2025-06-05 17:02:14
79,3723,296,Comment 79: investigating issue 79.,2025-01-19 04:34:54
80,449,288,Comment 80: investigating issue 80.,2025-01-20 15:33:08
81,2040,222,Comment 81: investigating issue 81.,2025-06-28 22:01:58
82,688,199,Comment 82: investigating issue 82.,2025-01-07 23:24:59
83,133,43,Comment 83: investigating issue 83.,2025-08-15 04:46:15
84,1238,167,Comment 84: investigating issue 84.,2024-12-02 14:14:43
85,1151,196,Comment 85: investigating issue 85.,2025-07-11 05:03:58
86,475,288,Comment 86: investigating issue 86.,2025-07-24 15:37:34
87,4805,217,Comment 87: investigating issue 87.,2024-11-27 07:51:07
88,717,11,Comment 88: investigating issue 88.,2025-04-01 00:02:39
89,14,123,Comment 89: investigating issue 89.,2024-09-23 13:22:12
90,4653,93,Comment 90: investigating issue 90.,2025-09-08 12:37:18
91,3204,248,Comment 91: investigating issue 91.,2025-02-17 15:48:32
92,3376,11,Comment 92: investigating issue 92.,2025-07-23 19:57:48
93,1873,106,Comment 93: investigating issue 93.,2025-02-19 08:38:41
94,4778,178,Comment 94: investigating issue 94.,2024-10-06 19:43:26
95,3205,201,Comment 95: investigating issue 95.,2025-07-13 17:18:06
96,4041,220,Comment 96: investigating issue 96.,2024-09-09 06:46:08
97,2789,182,Comment 97: investigating issue 97.,2024-09-17 23:47:35
98,4311,14,Comment 98: investigating issue 98.,2024-10-01 06:53:26
99,2784,25,Comment 99: investigating issue 99.,2024-10-14 01:00:06
100,4493,112,Comment 100: investigating issue 100.,2024-10-06 01:13:13
101,3409,96,Comment 101: investigating issue 101.,2025-06-09 18:45:26
102,393,259,Comment 102: investigating issue 102.,2024-09-30 07:17:32
103,2880,190,Comment 103: investigating issue 103.,2025-08-03 10:36:25
104,2417,160,Comment 104: investigating issue 104.,2024-11-02 01:35:10
105,4793,294,Comment 105: investigating issue 105.,2025-04-14 05:57:13
106,554,65,Comment 106: investigating issue 106.,2025-03-24 12:43:45
107,1731,214,Comment 107: investigating issue 107.,2024-10-23 17:53:38
108,3215,25,Comment 108: investigating issue 108.,2025-06-18 09:34:48
109,106,93,Comment 109: investigating issue 109.,2024-10-05 11:22:59
110,3607,205,Comment 110: investigating issue 110.,2024-11-13 05:39:00
111,4762,61,Comment 111: investigating issue 111.,2024-11-26 17:00:34
112,2544,275,Comment 112: investigating issue 112.,2025-02-13 02:35:20
113,3384,253,Comment 113: investigating issue 113.,2025-03-26 07:11:41
114,4997,8,Comment 114: investigating issue 114.,2025-03-05 16:52:48
115,1098,48,Comment 115: investigating issue 115.,2025-08-18 01:46:53
116,3625,143,Comment 116: investigating issue 116.,2024-11-14 07:03:54
117,975,245,Comment 117: investigating issue 117.,2025-08-06 20:07:50
118,3596,171,Comment 118: investigating issue 118.,2025-06-18 01:08:59
119,191,21,Comment 119: investigating issue 119.,2025-04-07 09:03:15
120,1543,253,Comment 120: investigating issue 120.,2025-05-23 21:56:02
121,1631,54,Comment 121: investigating issue 121.,2025-05-18 19:09:24
122,3652,182,Comment 122: investigating issue 122.,2024-12-14 08:25:40
123,1453,165,Comment 123: investigating issue 123.,2024-10-13 08:11:23
124,4411,127,Comment 124: investigating issue 124.,2025-07-05 09:05:23
125,294,102,Comment 125: investigating issue 125.,2024-10-18 08:26:20
126,1745,218,Comment 126: investigating issue 126.,2025-09-22 15:14:50
127,2385,285,Comment 127: investigating issue 127.,2025-08-02 02:18:03
128,3622,185,Comment 128: investigating issue 128.,2025-07-06 21:51:52
129,3867,189,Comment 129: investigating issue 129.,2025-02-07 13:56:16
130,2663,39,Comment 130: investigating issue 130.,2025-05-05 15:37:42
131,2035,133,Comment 131: investigating issue 131.,2025-09-21 03:49:54
132,2331,104,Comment 132: investigating issue 132.,2024-12-17 17:39:00
133,4068,1,Comment 133: investigating issue 133.,2024-11-22 21:34:29
134,1400,30,Comment 134: investigating issue 134.,2025-08-24 12:02:29
135,4471,23,Comment 135: investigating issue 135.,2024-09-22 15:04:39
136,1700,253,Comment 136: investigating issue 136.,2024-11-10 17:43:23
137,18,60,Comment 137: investigating issue 137.,2024-09-04 23:43:03
138,2041,74,Comment 138: investigating issue 138.,2024-09-06 21:37:28
139,4119,78,Comment 139: investigating issue 139.,2025-03-07 12:11:07
140,2107,50,Comment 140: investigating issue 140.,2025-07-14 04:42:33
141,79,13,Comment 141: investigating issue 141.,2025-08-29 00:59:16
142,2847,251,Comment 142: investigating issue 142.,2025-06-04 05:17:04
143,933,206,Comment 143: investigating issue 143.,2025-07-09 04:52:08
144,692,289,Comment 144: investigating issue 144.,2024-09-16 23:06:45
145,4086,203,Comment 145: investigating issue 145.,2025-03-24 03:04:00
146,2560,137,Comment 146: investigating issue 146.,2024-10-09 21:01:46
147,2300,115,Comment 147: investigating issue 147.,2025-04-15 00:43:38
148,3266,39,Comment 148: investigating issue 148.,2025-08-05 20:12:34
149,1158,65,Comment 149: investigating issue 149.,2025-01-11 19:14:55
150,3820,228,Comment 150: investigating issue 150.,2024-12-14 07:42:12
151,3536,54,Comment 151: investigating issue 151.,2024-09-17 02:25:41
152,2790,138,Comment 152: investigating issue 152.,2024-10-01 19:39:44
153,1388,196,Comment 153: investigating issue 153.,2024-09-17 14:58:41
154,1476,268,Comment 154: investigating issue 154.,2025-04-25 09:29:09
155,3378,183,Comment 155: investigating issue 155.,2025-05-17 18:41:13
156,4791,73,Comment 156: investigating issue 156.,2024-11-12 07:24:49
157,4346,163,Comment 157: investigating issue 157.,2025-06-27 03:26:35
158,4432,260,Comment 158: investigating issue 158.,2025-07-10 20:26:48
159,2050,295,Comment 159: investigating issue 159.,2025-02-18 07:55:30
160,1573,300,Comment 160: investigating issue 160.,2025-08-17 23:21:37
161,2249,181,Comment 161: investigating issue 161.,2025-01-28 08:08:37
162,4969,33,Comment 162: investigating issue 162.,2024-10-05 17:44:26
