task_id,project_id,title,description,priority,status,estimate_points,creator_user_id,created_at,updated_at,due_date
1,97,Task 1 for project 97,Implement feature 1 and write tests.,CRITICAL,IN_PROGRESS,5,276,2025-01-20 06:10:37,2025-04-17 06:10:37,
2,97,Task 2 for project 97,Implement feature 2 and write tests.,LOW,REVIEW,2,42,2025-09-15 18:50:36,2025-09-27 14:41:22,2025-10-31 18:50:36
3,10,Task 3 for project 10,Implement feature 3 and write tests.,HIGH,OPEN,5,289,2024-10-29 18:24:46,2025-01-01 18:24:46,2024-12-04 18:24:46
4,26,Task 4 for project 26,Implement feature 4 and write tests.,LOW,DONE,13,294,2025-09-24 10:45:35,2025-09-27 14:41:22,2025-10-15 10:45:35
5,57,Task 5 for project 57,Implement feature 5 and write tests.,LOW,DONE,2,60,2025-01-10 03:39:02,2025-03-13 03:39:02,
6,12,Task 6 for project 12,Implement feature 6 and write tests.,MEDIUM,OPEN,3,262,2025-07-15 15:05:19,2025-09-11 15:05:19,
7,17,Task 7 for project 17,Implement feature 7 and write tests.,MEDIUM,IN_PROGRESS,5,263,2025-06-22 06:45:53,2025-09-01 06:45:53,2025-06-26 06:45:53
8,60,Task 8 for project 60,Implement feature 8 and write tests.,MEDIUM,OPEN,3,158,2024-08-20 12:31:12,2024-08-20 12:31:12,2024-10-12 12:31:12
9,96,Task 9 for project 96,Implement feature 9 and write tests.,HIGH,IN_PROGRESS,2,112,2024-09-29 08:03:30,2024-12-27 08:03:30,2024-10-22 08:03:30
10,9,Task 10 for project 9,Implement feature 10 and write tests.,MEDIUM,BLOCKED,1,278,2024-09-19 09:56:08,2024-09-27 09:56:08,
11,61,Task 11 for project 61,Implement feature 11 and write tests.,LOW,REVIEW,1,17,2025-03-14 14:26:53,2025-03-31 14:26:53,2025-05-03 14:26:53
12,99,Task 12 for project 99,Implement feature 12 and write tests.,CRITICAL,DONE,8,216,2025-05-21 11:08:48,2025-07-08 11:08:48,
13,58,Task 13 for project 58,Implement feature 13 and write tests.,LOW,IN_PROGRESS,5,194,2025-05-22 09:13:47,2025-07-30 09:13:47,2025-07-04 09:13:47
